,spoc,riemann,n_components,fold_idx
0,-0.010564333721189367,-1643187.5414690264,1,0
1,-158178.5891540404,-10772.939770227014,1,1
2,-2204603.6082782294,-0.010355551173139466,1,2
3,-2869.7298491613915,-323654.1556711346,1,3
4,-3971.9761861791594,-0.010769203037741981,1,4
5,-0.010600462311036507,-30240.88841092174,1,5
6,-0.010564333721189367,-1943122.0507777254,1,6
7,-0.010682583137985091,-10712.002801505456,1,7
8,-8961.314348591346,-50959.734576261224,1,8
9,-9124.151716693643,-0.01078780438207505,1,9
0,-0.010686891585888869,-0.010804112704973612,2,0
1,-161166.70708535993,-29944.589714144055,2,1
2,-8921.475661147955,-0.010678536545601247,2,2
3,-3067735.354430853,-903477.7645216362,2,3
4,-3675.2007104419254,-0.010651202438126894,2,4
5,-8905.800608165655,-26452.976722206393,2,5
6,-3974.988962744422,-7170.471423336644,2,6
7,-8922.782248531237,-30193.202106451125,2,7
8,-29983.545026280197,-4035.8651105722697,2,8
9,-3975.016919054464,-0.010651202438126894,2,9
0,-8828.988440868696,-0.010642399378788525,3,0
1,-8883.448242271907,-0.010580884889278996,3,1
2,-1295921.0615154381,-0.010756708448223629,3,2
3,-0.010689902383521188,-8892.468865012805,3,3
4,-2880.07818063881,-2855.0529759747224,3,4
5,-3978.1778100086717,-0.010782005362479419,3,5
6,-1046961.2297332321,-1535636.3189404875,3,6
7,-9047.164498956867,-0.01076609872943779,3,7
8,-3978.1778100086717,-8892.468865012805,3,8
9,-3978.1778100086717,-29892.22633759831,3,9
0,-3950.8907122409737,-10941.624370418995,4,0
1,-877457.9195628393,-0.010591590089110925,4,1
2,-153209.80586521135,-8591.746877376476,4,2
3,-1031834.0453847218,-198660.9587036165,4,3
4,-8763.018630061788,-883777.5269010968,4,4
5,-3947.846518026339,-1196727.6078115285,4,5
6,-0.010672047982859922,-194432.57879409625,4,6
7,-30101.377495583118,-1010049.2055373664,4,7
8,-165845.3368254892,-893414.9255426647,4,8
9,-161250.26143006978,-194432.57879409625,4,9
0,-3931.9164472951147,-0.01058686785162255,5,0
1,-161717.77041486974,-0.010683201606475068,5,1
2,-28975.138775413583,-1979140.641380277,5,2
3,-4246.674973718317,-0.010563257258600967,5,3
4,-8710.985319200787,-4295.819680403581,5,4
5,-8710.985319200787,-206122.3545342172,5,5
6,-866196.553584478,-3760.5586603303686,5,6
7,-1394757.440310078,-885957.7763166813,5,7
8,-163026.082418499,-0.01067751671334527,5,8
9,-1947345.9961022206,-896568.330099902,5,9
0,-164395.84415006186,-191195.45987795398,6,0
1,-3960.7268657574555,-3967.682963837236,6,1
2,-156218.50540697153,-203111.3986175028,6,2
3,-0.010560969687714028,-185563.1791548912,6,3
4,-1923783.037698099,-0.010541549951065043,6,4
5,-164395.84415006186,-8586.804683858216,6,5
6,-0.010670798055072872,-28639.598676147725,6,6
7,-27962.553064606644,-0.010541549951065043,6,7
8,-0.010579301306101518,-0.010541549951065043,6,8
9,-164395.84415006186,-28770.91874915765,6,9
