,spoc,riemann,n_components,fold_idx
0,-0.20519506576052526,-0.17459635162867437,1,0
1,-0.11305160876451059,-0.11270837934797884,1,1
0,-0.19079896419215903,-0.174108822576025,2,0
1,-0.11269285012559593,-0.11253194997628713,2,1
0,-0.1885029006139507,-0.17404037846872122,3,0
1,-0.11710306715204033,-0.11247858189625592,3,1
0,-0.1911751641688093,-0.17389476201726195,4,0
1,-0.11259286464432772,-0.11231108392140232,4,1
0,-0.19166992373061542,-0.17425115630209276,5,0
1,-0.11286941524632588,-0.11241914646327289,5,1
0,-0.17975569688130788,-0.17377947756610035,6,0
1,-0.11205972966904043,-0.11236424731342387,6,1
0,-0.17760285756673055,-0.17209069348900208,7,0
1,-0.11082014032859688,-0.11158263207841324,7,1
0,-0.1693240293220193,-0.1746658730621149,8,0
1,-0.10793559581613832,-0.11181826914772297,8,1
0,-0.16490526520507198,-0.17425823402955154,9,0
1,-0.10796635248709752,-0.11189667282842786,9,1
0,-0.1678739627621435,-0.17424288976615498,10,0
1,-0.10322064939249675,-0.1120153905372383,10,1
0,-0.16639476176602153,-0.17359096015112851,11,0
1,-0.10383235522295475,-0.11194305032540974,11,1
0,-0.16999582306296102,-0.17338327960061917,12,0
1,-0.10137534884586552,-0.11186179750042613,12,1
0,-0.17026269799678162,-0.1730751070474119,13,0
1,-0.09785338801446342,-0.11326900358746639,13,1
0,-0.16583166441237251,-0.17350637219928933,14,0
1,-0.09869735697966053,-0.1116582545362812,14,1
0,-0.16289087778349542,-0.17187341409490275,15,0
1,-0.09494184826557128,-0.11255631650857101,15,1
0,-0.17165725340242188,-0.17114965325562448,16,0
1,-0.08992786149652088,-0.11248279629167013,16,1
0,-0.17150213152550853,-0.17109876495775667,17,0
1,-0.08842254989542986,-0.11225941010368401,17,1
0,-0.1750976943508875,-0.17204031454015434,18,0
1,-0.08907704774962055,-0.11229447214491861,18,1
0,-0.17504025588790162,-0.17220588586306773,19,0
1,-0.08975152328739955,-0.11197876936176154,19,1
0,-0.1859816020724474,-0.17157565455106516,20,0
1,-0.09180025778362744,-0.11167799611793616,20,1
0,-0.18251097043644848,-0.17225795955349343,21,0
1,-0.08739497352542958,-0.11125945990170893,21,1
0,-0.1825538528384305,-0.17228015632195448,22,0
1,-0.08744041857457607,-0.11102820684771864,22,1
0,-0.18222192393124037,-0.1714262228368253,23,0
1,-0.08691484584884557,-0.11117935624865027,23,1
0,-0.1817590386844954,-0.16946234935339755,24,0
1,-0.09114560670314442,-0.11106135129690187,24,1
0,-0.18169084230818422,-0.1698452056376778,25,0
1,-0.09179268706979404,-0.11121764518431942,25,1
0,-0.17427434759656646,-0.1699189420114937,26,0
1,-0.09373009858186387,-0.10959843767812472,26,1
0,-0.1748517279597086,-0.16974696355171104,27,0
1,-0.09548842620019826,-0.10955994755251774,27,1
0,-0.17510928620709976,-0.1695973361092724,28,0
1,-0.09570575695815497,-0.10956696340440564,28,1
0,-0.17510438266158102,-0.16965689012470797,29,0
1,-0.09465180136211515,-0.10966559140436227,29,1
0,-0.1715856609536217,-0.16860266026429582,30,0
1,-0.09372551050941902,-0.10901437569060901,30,1
0,-0.1713603595439419,-0.16841765507140627,31,0
1,-0.09244091457397907,-0.10917355550963892,31,1
