Participant_id,Trial,idx_epoch,id_ratings,Experiment_id,Start_time,Valence,Arousal,Dominance,Liking,Familiarity
1,1,26,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,1,27,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,1,28,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,1,29,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,1,30,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,1,31,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,1,32,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,1,33,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,1,34,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,1,35,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,1,36,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,1,37,1-1,5,1695918,6.96,3.92,7.19,6.05,4.0
1,2,46,1-2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,2,47,1-2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,2,48,1-2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,2,49,1-2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,2,51,1-2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,2,52,1-2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,2,53,1-2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,2,54,1-2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,2,55,1-2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,2,56,1-2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,2,57,1-2,18,2714905,7.23,7.15,6.94,8.01,4.0
1,3,64,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,3,65,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,3,66,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,3,67,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,3,68,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,3,69,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,3,70,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,3,71,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,3,72,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,3,73,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,3,74,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,3,75,1-3,4,3586768,4.94,6.01,6.12,8.06,4.0
1,4,82,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,4,83,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,4,84,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,4,85,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,4,86,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,4,87,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,4,88,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,4,89,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,4,90,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,4,91,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,4,92,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,4,93,1-4,24,4493800,7.04,7.09,8.01,8.22,4.0
1,5,99,1-5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,5,100,1-5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,5,101,1-5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,5,102,1-5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,5,103,1-5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,5,104,1-5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,5,105,1-5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,5,106,1-5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,5,107,1-5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,5,108,1-5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,5,109,1-5,20,5362005,8.26,7.91,7.19,8.13,1.0
1,6,116,1-6,31,6176062,3.03,8.14,2.86,8.04,1.0
