,spoc,riemann,n_components,fold_idx
0,-1.086162723917183,-0.3666273159194484,1,0
1,-0.5010762971678182,-0.15618751879068316,1,1
0,-0.7723100075253901,-0.39884803416538017,2,0
1,-0.18676197306509135,-0.16112464245335278,2,1
0,-0.7158688649217162,-0.3804433233957134,3,0
1,-0.18273789964214826,-0.17416665463491787,3,1
0,-0.837507965262098,-0.40495423912686346,4,0
1,-0.2483518637707085,-0.1789306741608605,4,1
0,-0.9546834322268283,-0.37639853042527327,5,0
1,-0.39767792127797863,-0.17031632363996874,5,1
0,-0.9937498588619125,-0.35846866097949914,6,0
1,-0.3615721993564036,-0.1827599641815163,6,1
0,-0.797304274133775,-0.37662921662040993,7,0
1,-0.2899885190933922,-0.21116092080607896,7,1
0,-3.346355251567819,-0.38109960744438176,8,0
1,-0.2619778387857057,-0.1283798092595161,8,1
0,-6.457750421781754,-0.3476668056606085,9,0
1,-0.26682682122909274,-0.12686569547765103,9,1
0,-5.6581823825711455,-0.2969931653162081,10,0
1,-0.23829718558299784,-0.1349042482865077,10,1
0,-1.3947583200266607,-0.3002854213545887,11,0
1,-0.33125022699518314,-0.15180692925473172,11,1
0,-1.588351446550559,-0.264372437057248,12,0
1,-0.28838833519455087,-0.1676773461417116,12,1
0,-1.3951785160416224,-0.3074911413796344,13,0
1,-4.241153706493193,-0.18245551186957432,13,1
0,-0.7820634596396254,-0.18112751974574293,14,0
1,-4.239969964122864,-0.14602393547122094,14,1
0,-0.7736582111085255,-0.13850479412885242,15,0
1,-0.3535013722014917,-0.12902423526496043,15,1
0,-0.661753618668665,-0.0889545952877504,16,0
1,-0.4349249861978768,-0.1397511468990691,16,1
0,-0.5831290648177359,-0.1769800765676781,17,0
1,-0.464203856968026,-0.17736724546148008,17,1
0,-0.6124853897980849,-0.1771307466701615,18,0
1,-0.4660587598969195,-0.1395009294543368,18,1
0,-0.5634094053984116,-0.17698171918153727,19,0
1,-0.6774896281315275,-0.1552534142970008,19,1
0,-0.6211029491333782,-0.1769411413695181,20,0
1,-0.5474965668426472,-0.11696825182687731,20,1
0,-0.5028393981793966,-0.17724122504595674,21,0
1,-0.7434256309872973,-0.10764771114507177,21,1
0,-0.7048421695667135,-0.17714218700639606,22,0
1,-0.6474370734263615,-0.0715502564782049,22,1
0,-0.30949136091115204,-0.17749411608852572,23,0
1,-0.7888705420911168,-0.03770628055981495,23,1
0,-0.3129163050055497,-0.1776740193902664,24,0
1,-1.0587414576864522,-0.05831581754270454,24,1
0,-1.1010963547609336,-0.17745076806669924,25,0
1,-1.0561846829241577,-0.05315881352584517,25,1
0,-1.0883095470658808,-0.17740395265203301,26,0
1,-0.8287830534645582,-0.05852106494781695,26,1
0,-0.3258443181911035,-0.17729768340765695,27,0
1,-0.9499878332574201,-0.043403399157239564,27,1
0,-0.4422937885386806,-0.17696093969945914,28,0
1,-0.80704386562424,-0.0996118405071893,28,1
0,-0.3937465645729372,-0.17734399879682394,29,0
1,-0.8109870533322452,-0.13924009307944418,29,1
0,-0.45899426046730385,-0.17693163076948526,30,0
1,-0.8658855505334149,-0.13370256069500575,30,1
0,-0.5991798869608369,-0.1768249149535639,31,0
1,-0.7119569743150147,-0.10657666835642976,31,1
