,spoc,riemann,n_components,fold_idx
0,,,1,0
1,,,1,1
2,,,1,2
3,,,1,3
4,,,1,4
5,,,1,5
6,,,1,6
7,,,1,7
8,,,1,8
9,,,1,9
0,,,2,0
1,,,2,1
2,,,2,2
3,,,2,3
4,,,2,4
5,,,2,5
6,,,2,6
7,,,2,7
8,,,2,8
9,,,2,9
0,,,3,0
1,,,3,1
2,,,3,2
3,,,3,3
4,,,3,4
5,,,3,5
6,,,3,6
7,,,3,7
8,,,3,8
9,,,3,9
0,,,4,0
1,,,4,1
2,,,4,2
3,,,4,3
4,,,4,4
5,,,4,5
6,,,4,6
7,,,4,7
8,,,4,8
9,,,4,9
0,,,5,0
1,,,5,1
2,,,5,2
3,,,5,3
4,,,5,4
5,,,5,5
6,,,5,6
7,,,5,7
8,,,5,8
9,,,5,9
0,,,6,0
1,,,6,1
2,,,6,2
3,,,6,3
4,,,6,4
5,,,6,5
6,,,6,6
7,,,6,7
8,,,6,8
9,,,6,9
0,,,7,0
1,,,7,1
2,,,7,2
3,,,7,3
4,,,7,4
5,,,7,5
6,,,7,6
7,,,7,7
8,,,7,8
9,,,7,9
0,,,8,0
1,,,8,1
2,,,8,2
3,,,8,3
4,,,8,4
5,,,8,5
6,,,8,6
7,,,8,7
8,,,8,8
9,,,8,9
0,,,9,0
1,,,9,1
2,,,9,2
3,,,9,3
4,,,9,4
5,,,9,5
6,,,9,6
7,,,9,7
8,,,9,8
9,,,9,9
0,,,10,0
1,,,10,1
2,,,10,2
3,,,10,3
4,,,10,4
5,,,10,5
6,,,10,6
7,,,10,7
8,,,10,8
9,,,10,9
0,,,11,0
1,,,11,1
2,,,11,2
3,,,11,3
4,,,11,4
5,,,11,5
6,,,11,6
7,,,11,7
8,,,11,8
9,,,11,9
0,,,12,0
1,,,12,1
2,,,12,2
3,,,12,3
4,,,12,4
5,,,12,5
6,,,12,6
7,,,12,7
8,,,12,8
9,,,12,9
0,,,13,0
1,,,13,1
2,,,13,2
3,,,13,3
4,,,13,4
5,,,13,5
6,,,13,6
7,,,13,7
8,,,13,8
9,,,13,9
0,,,14,0
1,,,14,1
2,,,14,2
3,,,14,3
4,,,14,4
5,,,14,5
6,,,14,6
7,,,14,7
8,,,14,8
9,,,14,9
0,,,15,0
1,,,15,1
2,,,15,2
3,,,15,3
4,,,15,4
5,,,15,5
6,,,15,6
7,,,15,7
8,,,15,8
9,,,15,9
0,,,16,0
1,,,16,1
2,,,16,2
3,,,16,3
4,,,16,4
5,,,16,5
6,,,16,6
7,,,16,7
8,,,16,8
9,,,16,9
0,,,17,0
1,,,17,1
2,,,17,2
3,,,17,3
4,,,17,4
5,,,17,5
6,,,17,6
7,,,17,7
8,,,17,8
9,,,17,9
0,,,18,0
1,,,18,1
2,,,18,2
3,,,18,3
4,,,18,4
5,,,18,5
6,,,18,6
7,,,18,7
8,,,18,8
9,,,18,9
0,,,19,0
1,,,19,1
2,,,19,2
3,,,19,3
4,,,19,4
5,,,19,5
6,,,19,6
7,,,19,7
8,,,19,8
9,,,19,9
0,,,20,0
1,,,20,1
2,,,20,2
3,,,20,3
4,,,20,4
5,,,20,5
6,,,20,6
7,,,20,7
8,,,20,8
9,,,20,9
0,,,21,0
1,,,21,1
2,,,21,2
3,,,21,3
4,,,21,4
5,,,21,5
6,,,21,6
7,,,21,7
8,,,21,8
9,,,21,9
